"TreeID","Year","first_stage2_date","April_Days","Air_Temp","Air_Temp_Max","Air_Temp_Min","Grass_Temp","Rain_mm_Tot"
33,2007,2007-04-14,13,NA,NA,NA,NA,NA
33,2011,2011-04-13,12,12.4,18.1,4.8,23.9,0
33,2013,2013-05-02,31,8,12.1,2.4,21.8,1.4
33,2018,2018-04-23,22,11.3,15.1,6.7,19,2.9
33,2021,2021-05-03,32,6.7,13.3,0.1,14.4,0.4
33,2022,2022-04-20,19,8.9,15.4,3.2,12.3,0.7
33,2023,2023-04-18,17,8.8,13.3,2.9,18.2,2.9
33,2024,2024-04-10,9,9.7,13.8,5.6,17.4,1.8
34,2007,2007-04-10,9,NA,NA,NA,NA,NA
34,2008,2008-04-25,24,NA,NA,NA,NA,NA
34,2009,2009-04-16,15,NA,NA,NA,NA,NA
34,2010,2010-05-01,30,9.7,14.1,1.7,26.2,0.7
35,2007,2007-04-06,5,NA,NA,NA,NA,NA
35,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
35,2013,2013-05-04,33,8,12.1,2.4,21.8,1.4
36,2007,2007-04-06,5,NA,NA,NA,NA,NA
36,2011,2011-04-13,12,12.4,18.1,4.8,23.9,0
36,2013,2013-05-04,33,8,12.1,2.4,21.8,1.4
37,2007,2007-04-06,5,NA,NA,NA,NA,NA
37,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
37,2013,2013-04-26,25,8,12.1,2.4,21.8,1.4
38,2007,2007-04-10,9,NA,NA,NA,NA,NA
38,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
38,2013,2013-05-02,31,8,12.1,2.4,21.8,1.4
39,2007,2007-04-10,9,NA,NA,NA,NA,NA
39,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
39,2013,2013-04-26,25,8,12.1,2.4,21.8,1.4
39,2018,2018-04-20,19,11.3,15.1,6.7,19,2.9
39,2021,2021-04-27,26,6.7,13.3,0.1,14.4,0.4
39,2022,2022-04-11,10,8.9,15.4,3.2,12.3,0.7
39,2023,2023-04-28,27,8.8,13.3,2.9,18.2,2.9
39,2024,2024-04-18,17,9.7,13.8,5.6,17.4,1.8
40,2007,2007-04-10,9,NA,NA,NA,NA,NA
40,2011,2011-04-11,10,12.4,18.1,4.8,23.9,0
40,2013,2013-04-30,29,8,12.1,2.4,21.8,1.4
41,2007,2007-04-10,9,NA,NA,NA,NA,NA
41,2011,2011-04-11,10,12.4,18.1,4.8,23.9,0
41,2013,2013-04-30,29,8,12.1,2.4,21.8,1.4
41,2018,2018-04-20,19,11.3,15.1,6.7,19,2.9
41,2021,2021-04-27,26,6.7,13.3,0.1,14.4,0.4
41,2022,2022-04-11,10,8.9,15.4,3.2,12.3,0.7
41,2023,2023-04-28,27,8.8,13.3,2.9,18.2,2.9
41,2024,2024-04-08,7,9.7,13.8,5.6,17.4,1.8
42,2007,2007-04-08,7,NA,NA,NA,NA,NA
42,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
42,2013,2013-04-30,29,8,12.1,2.4,21.8,1.4
42,2016,2016-04-25,24,8.7,12.4,2.5,22.5,1.4
42,2017,2017-04-13,12,10,14.4,2.2,25.3,0.1
42,2018,2018-04-20,19,11.3,15.1,6.7,19,2.9
42,2021,2021-04-27,26,6.7,13.3,0.1,14.4,0.4
42,2022,2022-04-11,10,8.9,15.4,3.2,12.3,0.7
42,2023,2023-04-28,27,8.8,13.3,2.9,18.2,2.9
42,2024,2024-04-08,7,9.7,13.8,5.6,17.4,1.8
43,2007,2007-04-08,7,NA,NA,NA,NA,NA
43,2011,2011-04-13,12,12.4,18.1,4.8,23.9,0
43,2013,2013-04-30,29,8,12.1,2.4,21.8,1.4
44,2007,2007-04-14,13,NA,NA,NA,NA,NA
44,2011,2011-04-17,16,12.4,18.1,4.8,23.9,0
44,2013,2013-05-04,33,8,12.1,2.4,21.8,1.4
44,2016,2016-05-07,36,8.7,12.4,2.5,22.5,1.4
44,2017,2017-04-15,14,10,14.4,2.2,25.3,0.1
44,2018,2018-04-20,19,11.3,15.1,6.7,19,2.9
44,2021,2021-05-26,55,6.7,13.3,0.1,14.4,0.4
44,2022,2022-04-11,10,8.9,15.4,3.2,12.3,0.7
44,2023,2023-05-17,46,8.8,13.3,2.9,18.2,2.9
44,2024,2024-04-18,17,9.7,13.8,5.6,17.4,1.8
45,2007,2007-04-20,19,NA,NA,NA,NA,NA
45,2011,2011-04-09,8,12.4,18.1,4.8,23.9,0
45,2013,2013-05-10,39,8,12.1,2.4,21.8,1.4
45,2018,2018-04-26,25,11.3,15.1,6.7,19,2.9
45,2022,2022-04-25,24,8.9,15.4,3.2,12.3,0.7
45,2024,2024-04-18,17,9.7,13.8,5.6,17.4,1.8
46,2007,2007-04-12,11,NA,NA,NA,NA,NA
46,2008,2008-04-25,24,NA,NA,NA,NA,NA
46,2009,2009-04-18,17,NA,NA,NA,NA,NA
46,2010,2010-04-25,24,9.7,14.1,1.7,26.2,0.7
46,2011,2011-04-11,10,12.4,18.1,4.8,23.9,0
