"TreeID","Year","first_stage2_date","Julian_Day"
86,2016,2016-04-24,115
86,2017,2017-04-25,115
86,2018,2018-04-21,111
86,2021,2021-04-26,116
86,2022,2022-04-20,110
86,2023,2023-04-25,115
86,2024,2024-04-10,101
87,2007,2007-04-04,94
87,2011,2011-04-08,98
87,2013,2013-05-03,123
88,2007,2007-04-06,96
88,2008,2008-04-11,102
88,2011,2011-04-08,98
88,2013,2013-05-03,123
88,2015,2015-04-14,104
88,2016,2016-04-18,109
88,2018,2018-05-20,140
89,2007,2007-04-14,104
89,2008,2008-04-21,112
89,2011,2011-04-12,102
89,2013,2013-05-07,127
89,2015,2015-04-23,113
89,2016,2016-04-18,109
89,2017,2017-04-13,103
89,2018,2018-04-21,111
89,2021,2021-05-24,144
89,2022,2022-04-20,110
90,2007,2007-04-12,102
90,2008,2008-04-25,116
90,2011,2011-04-14,104
90,2013,2013-05-11,131
90,2015,2015-04-27,117
90,2016,2016-04-18,109
90,2017,2017-04-18,108
90,2018,2018-04-21,111
90,2021,2021-05-24,144
90,2022,2022-04-20,110
90,2024,2024-04-25,116
91,2007,2007-04-20,110
91,2008,2008-05-05,126
92,2007,2007-04-14,104
92,2008,2008-04-25,116
92,2009,2009-04-18,108
92,2010,2010-05-01,121
92,2011,2011-04-14,104
92,2012,2012-05-02,123
92,2013,2013-05-29,149
92,2015,2015-04-25,115
92,2016,2016-04-18,109
92,2017,2017-04-15,105
92,2018,2018-04-21,111
92,2021,2021-05-24,144
92,2022,2022-04-22,112
92,2024,2024-04-25,116
93,2007,2007-04-16,106
93,2008,2008-04-29,120
93,2011,2011-04-20,110
93,2013,2013-05-07,127
93,2015,2015-04-23,113
93,2016,2016-04-18,109
93,2017,2017-04-10,100
93,2018,2018-04-21,111
93,2021,2021-05-24,144
93,2022,2022-04-20,110
93,2024,2024-04-25,116
94,2007,2007-04-12,102
94,2008,2008-04-27,118
94,2011,2011-04-12,102
94,2013,2013-05-07,127
94,2015,2015-05-08,128
94,2016,2016-05-06,127
94,2017,2017-04-25,115
95,2007,2007-04-04,94
95,2008,2008-04-05,96
95,2011,2011-04-04,94
95,2013,2013-04-25,115
95,2015,2015-04-11,101
95,2016,2016-04-13,104
95,2017,2017-04-10,100
95,2018,2018-04-21,111
95,2021,2021-04-14,104
95,2022,2022-04-07,97
95,2023,2023-04-17,107
95,2024,2024-04-10,101
96,2007,2007-04-12,102
96,2008,2008-04-23,114
96,2011,2011-04-10,100
96,2013,2013-04-29,119
96,2015,2015-04-17,107
96,2016,2016-04-18,109
96,2017,2017-04-10,100
96,2018,2018-04-21,111
96,2021,2021-04-30,120
96,2022,2022-04-20,110
96,2023,2023-04-25,115
96,2024,2024-04-25,116
97,2007,2007-04-12,102
97,2008,2008-04-27,118
97,2011,2011-04-12,102
97,2013,2013-05-01,121
97,2015,2015-04-19,109
97,2016,2016-04-18,109
97,2017,2017-04-10,100
97,2018,2018-04-21,111
97,2022,2022-04-20,110
97,2023,2023-04-25,115
97,2024,2024-04-25,116
98,2007,2007-04-08,98
98,2008,2008-04-19,110
98,2011,2011-04-06,96
98,2013,2013-04-25,115
98,2015,2015-04-17,107
98,2016,2016-04-13,104
98,2017,2017-04-10,100
98,2018,2018-04-21,111
98,2021,2021-04-20,110
98,2022,2022-04-11,101
98,2023,2023-04-25,115
98,2024,2024-04-10,101
99,2007,2007-04-12,102
99,2011,2011-04-08,98
99,2013,2013-04-25,115
99,2018,2018-04-21,111
99,2021,2021-04-26,116
99,2022,2022-04-11,101
99,2023,2023-04-25,115
99,2024,2024-04-25,116
100,2007,2007-04-12,102
100,2011,2011-04-10,100
100,2013,2013-04-27,117
100,2018,2018-04-21,111
100,2022,2022-04-20,110
100,2023,2023-04-26,116
100,2024,2024-04-10,101
101,2007,2007-04-10,100
101,2011,2011-04-16,106
101,2013,2013-05-07,127
102,2007,2007-04-04,94
102,2011,2011-04-08,98
102,2013,2013-04-29,119
102,2018,2018-04-12,102
102,2022,2022-04-11,101
102,2024,2024-04-25,116
103,2007,2007-04-08,98
103,2011,2011-04-10,100
103,2013,2013-05-03,123
103,2023,2023-04-25,115
103,2024,2024-04-25,116
104,2007,2007-04-12,102
104,2008,2008-04-25,116
104,2009,2009-04-18,108
104,2010,2010-04-27,117
104,2011,2011-04-10,100
105,2007,2007-04-10,100
105,2011,2011-04-06,96
105,2013,2013-04-29,119
106,2007,2007-04-10,100
106,2011,2011-04-20,110
107,2007,2007-04-06,96
107,2011,2011-04-10,100
107,2013,2013-05-01,121
107,2023,2023-04-26,116
107,2024,2024-04-25,116
108,2007,2007-04-04,94
108,2011,2011-04-06,96
108,2013,2013-04-25,115
108,2018,2018-04-21,111
108,2022,2022-04-11,101
108,2024,2024-04-10,101
109,2007,2007-04-10,100
109,2011,2011-04-12,102
109,2013,2013-05-07,127
109,2018,2018-04-25,115
109,2021,2021-05-24,144
109,2022,2022-04-11,101
110,2007,2007-04-12,102
110,2011,2011-04-12,102
110,2013,2013-05-01,121
111,2007,2007-04-08,98
111,2011,2011-04-12,102
111,2013,2013-05-05,125
113,2007,2007-04-12,102
113,2011,2011-04-10,100
113,2013,2013-05-01,121
114,2007,2007-04-14,104
114,2011,2011-04-10,100
114,2013,2013-04-27,117
115,2007,2007-04-20,110
115,2011,2011-04-12,102
115,2013,2013-05-03,123
116,2007,2007-04-06,96
116,2008,2008-04-05,96
116,2009,2009-03-30,89
116,2010,2010-04-15,105
116,2011,2011-04-04,94
116,2012,2012-03-30,90
116,2013,2013-04-25,115
116,2015,2015-04-14,104
116,2016,2016-04-13,104
116,2017,2017-04-10,100
116,2018,2018-04-12,102
116,2021,2021-04-26,116
116,2022,2022-04-11,101
116,2023,2023-04-17,107
116,2024,2024-04-10,101
117,2007,2007-04-04,94
117,2011,2011-04-10,100
118,2007,2007-04-16,106
118,2011,2011-04-18,108
119,2007,2007-04-12,102
119,2011,2011-04-12,102
119,2012,2012-04-18,109
119,2013,2013-05-01,121
119,2015,2015-04-17,107
119,2016,2016-04-18,109
119,2017,2017-04-10,100
119,2018,2018-04-21,111
119,2021,2021-04-30,120
119,2022,2022-04-20,110
119,2023,2023-04-26,116
119,2024,2024-04-25,116
120,2007,2007-04-10,100
120,2011,2011-04-12,102
120,2013,2013-05-03,123
121,2007,2007-04-14,104
121,2011,2011-04-10,100
121,2013,2013-04-27,117
122,2007,2007-04-12,102
122,2011,2011-04-08,98
122,2013,2013-04-27,117
123,2007,2007-04-04,94
123,2011,2011-04-06,96
123,2013,2013-04-25,115
123,2023,2023-04-17,107
123,2024,2024-04-25,116
124,2007,2007-04-22,112
124,2011,2011-04-20,110
124,2013,2013-05-07,127
125,2007,2007-04-12,102
125,2011,2011-04-10,100
125,2013,2013-04-27,117
125,2018,2018-04-21,111
125,2022,2022-04-11,101
125,2024,2024-04-25,116
126,2007,2007-04-08,98
126,2011,2011-04-10,100
126,2013,2013-04-27,117
126,2018,2018-04-21,111
126,2022,2022-04-11,101
126,2024,2024-04-10,101
127,2007,2007-04-12,102
127,2009,2009-04-14,104
127,2011,2011-04-10,100
127,2012,2012-04-12,103
127,2013,2013-05-01,121
127,2015,2015-04-17,107
127,2016,2016-04-18,109
127,2017,2017-04-11,101
127,2018,2018-04-25,115
127,2021,2021-04-30,120
127,2022,2022-04-11,101
127,2024,2024-04-10,101
128,2007,2007-04-06,96
128,2010,2010-04-19,109
128,2011,2011-04-06,96
128,2012,2012-03-28,88
128,2013,2013-04-27,117
128,2015,2015-04-14,104
128,2016,2016-04-13,104
128,2017,2017-04-10,100
128,2018,2018-04-21,111
128,2021,2021-04-26,116
128,2022,2022-04-11,101
128,2023,2023-04-17,107
128,2024,2024-04-10,101
129,2007,2007-04-12,102
129,2011,2011-04-08,98
129,2013,2013-04-27,117
130,2007,2007-04-06,96
130,2011,2011-04-08,98
130,2012,2012-05-22,143
130,2013,2013-04-29,119
130,2015,2015-04-14,104
130,2016,2016-04-18,109
130,2017,2017-04-10,100
130,2018,2018-04-21,111
130,2021,2021-04-26,116
130,2022,2022-04-11,101
130,2023,2023-04-26,116
130,2024,2024-04-10,101
131,2007,2007-04-12,102
